test_ids,Category,Sub_category
2015_5_9601_1001,2,16
2015_5_9603_1001,0,10
2015_5_9606_1001,3,18
2015_5_9607_1001,3,18
2015_5_9609_1001,4,17
2015_5_961_1001,4,17
2015_5_9611_1001,3,18
2015_5_9613_1001,3,6
2015_5_9614_1001,3,18
2015_5_9617_1001,3,18
2015_5_9618_1001,3,18
2015_5_9619_1001,0,14
2015_5_9620_1001,1,19
2015_5_9621_1001,0,14
2015_5_9622_1001,0,14
2015_5_9624_1001,3,18
2015_5_9625_1001,3,18
2015_5_9627_1001,4,17
2015_5_9628_1001,0,14
2015_5_963_1001,4,13
2015_5_9630_1001,2,16
2015_5_9631_1001,2,16
2015_5_9632_1001,0,14
2015_5_9633_1001,4,17
2015_5_9634_1001,3,18
2015_5_9635_1001,2,7
2015_5_9636_1001,2,16
2015_5_9637_1001,2,15
2015_5_9638_1001,0,14
2015_5_9639_1001,2,15
2015_5_964_1001,4,13
2015_5_9640_1001,1,8
2015_5_9641_1001,1,8
2015_5_9644_1001,1,19
2015_5_9646_1001,4,13
2015_5_9647_1001,3,18
2015_5_9648_1001,4,13
2015_5_9649_1001,2,16
2015_5_965_1001,4,17
2015_5_9650_1001,4,17
2015_5_9651_1001,3,18
2015_5_9652_1001,0,14
2015_5_9655_1001,4,13
2015_5_9656_1001,3,5
2015_5_9657_1001,1,19
2015_5_9658_1001,2,16
2015_5_9659_1001,0,14
2015_5_966_1001,4,17
2015_5_9660_1001,0,14
2015_5_9661_1001,0,14
2015_5_9662_1001,1,19
2015_5_9663_1001,2,16
2015_5_9664_1001,0,14
2015_5_9665_1001,3,18
2015_5_9666_1001,1,19
2015_5_9668_1001,1,19
2015_5_9669_1001,4,17
2015_5_967_1001,1,19
2015_5_9672_1001,4,12
2015_5_9673_1001,1,19
2015_5_9674_1001,2,16
2015_5_9675_1001,2,16
2015_5_9677_1001,3,6
2015_5_9679_1001,3,18
2015_5_968_1001,2,15
2015_5_9680_1001,2,15
2015_5_9681_1001,2,16
2015_5_9682_1001,1,19
2015_5_9683_1001,1,8
2015_5_969_1001,3,18
2015_5_9690_1001,1,19
2015_5_9692_1001,2,16
2015_5_9693_1001,3,18
2015_5_9694_1001,0,14
2015_5_9695_1001,1,19
2015_5_9696_1001,1,19
2015_5_9697_1001,1,19
2015_5_9699_1001,3,11
2015_5_97_1001,4,13
2015_5_9700_1001,1,8
2015_5_9701_1001,2,15
2015_5_9702_1001,1,19
2015_5_9704_1001,2,16
2015_5_9705_1001,2,16
2015_5_9706_1001,4,12
2015_5_9707_1001,2,16
2015_5_9708_1001,4,13
2015_5_9709_1001,1,8
2015_5_9710_1001,0,14
2015_5_9711_1001,4,13
2015_5_9713_1001,1,19
2015_5_9716_1001,2,16
2015_5_9717_1001,3,18
2015_5_9719_1001,2,7
2015_5_972_1001,4,12
2015_5_9720_1001,2,16
2015_5_9721_1001,4,13
2015_5_9722_1001,2,16
2015_5_9723_1001,2,16
2015_5_9724_1001,3,11
2015_5_9725_1001,1,19
2015_5_9727_1001,3,18
2015_5_9728_1001,1,8
2015_5_9729_1001,2,16
2015_5_973_1001,4,13
2015_5_9730_1001,4,13
2015_5_9731_1001,2,15
2015_5_9732_1001,1,8
2015_5_9733_1001,1,19
2015_5_9734_1001,3,18
2015_5_9735_1001,3,18
2015_5_9738_1001,0,14
2015_5_9739_1001,3,18
2015_5_9740_1001,2,16
2015_5_9741_1001,0,14
2015_5_9742_1001,0,14
2015_5_9743_1001,3,18
2015_5_9745_1001,2,16
2015_5_9746_1001,0,14
2015_5_9748_1001,4,17
2015_5_9749_1001,2,15
2015_5_975_1001,4,9
2015_5_9750_1001,0,14
2015_5_9751_1001,1,19
2015_5_9753_1001,0,14
2015_5_9756_1001,3,18
2015_5_9759_1001,2,2
2015_5_9761_1001,2,16
2015_5_9762_1001,2,16
2015_5_9763_1001,2,15
2015_5_9764_1001,2,15
2015_5_9765_1001,2,16
2015_5_9766_1001,0,10
2015_5_9767_1001,0,14
2015_5_9768_1001,2,7
2015_5_9769_1001,2,15
2015_5_977_1001,3,18
2015_5_9770_1001,2,16
2015_5_9771_1001,0,14
2015_5_9773_1001,1,19
2015_5_9775_1001,3,18
2015_5_9777_1001,3,6
2015_5_9778_1001,0,14
2015_5_9779_1001,2,16
2015_5_978_1001,4,9
2015_5_9780_1001,3,11
2015_5_9781_1001,2,16
2015_5_9782_1001,0,14
2015_5_9784_1001,1,19
2015_5_9786_1001,4,13
2015_5_9788_1001,2,16
2015_5_9789_1001,2,15
2015_5_9791_1001,1,19
2015_5_9792_1001,1,19
2015_5_9793_1001,2,16
2015_5_9794_1001,3,18
2015_5_9795_1001,4,13
2015_5_9797_1001,2,15
2015_5_98_1001,4,17
2015_5_980_1001,4,17
2015_5_9800_1001,2,16
2015_5_9801_1001,0,14
2015_5_9802_1001,2,15
2015_5_9803_1001,4,17
2015_5_9805_1001,2,16
2015_5_9806_1001,2,16
2015_5_9807_1001,3,18
2015_5_9808_1001,2,15
2015_5_9809_1001,1,19
2015_5_981_1001,2,16
2015_5_9812_1001,2,16
2015_5_9813_1001,1,19
2015_5_9815_1001,3,18
2015_5_9816_1001,2,16
2015_5_9818_1001,1,19
2015_5_9819_1001,2,16
2015_5_982_1001,4,17
2015_5_9820_1001,2,16
2015_5_9822_1001,2,16
2015_5_9823_1001,1,19
2015_5_9824_1001,1,19
2015_5_9825_1001,3,18
2015_5_9827_1001,0,10
2015_5_9828_1001,2,16
2015_5_9829_1001,2,16
2015_5_983_1001,2,7
2015_5_9830_1001,2,16
2015_5_9831_1001,0,5
2015_5_9832_1001,1,19
2015_5_9836_1001,0,14
2015_5_9838_1001,2,16
2015_5_9839_1001,2,16
2015_5_984_1001,3,18
2015_5_9840_1001,4,12
2015_5_9841_1001,2,16
2015_5_9842_1001,3,6
2015_5_9843_1001,4,13
2015_5_9844_1001,2,15
2015_5_9845_1001,1,19
2015_5_9848_1001,2,1
2015_5_9849_1001,4,12
2015_5_985_1001,1,19
2015_5_9850_1001,2,15
2015_5_9851_1001,0,14
2015_5_9852_1001,1,8
2015_5_9853_1001,2,16
2015_5_9856_1001,3,11
2015_5_9857_1001,3,18
2015_5_9858_1001,2,15
2015_5_9859_1001,1,19
2015_5_986_1001,4,17
2015_5_9860_1001,0,14
2015_5_9861_1001,3,18
2015_5_9862_1001,1,19
2015_5_9864_1001,1,8
2015_5_9866_1001,1,19
2015_5_9867_1001,0,14
2015_5_9869_1001,1,19
2015_5_987_1001,1,19
2015_5_9870_1001,3,18
2015_5_9871_1001,1,19
2015_5_9872_1001,0,14
2015_5_9874_1001,3,11
2015_5_9875_1001,3,18
2015_5_9876_1001,1,19
2015_5_9877_1001,0,14
2015_5_9878_1001,1,19
2015_5_988_1001,4,12
2015_5_9880_1001,3,18
2015_5_9881_1001,3,18
2015_5_9882_1001,3,18
2015_5_9883_1001,0,14
2015_5_9885_1001,3,18
2015_5_9886_1001,1,19
2015_5_9888_1001,2,16
2015_5_9889_1001,0,10
2015_5_9890_1001,0,10
2015_5_9891_1001,2,16
2015_5_9893_1001,2,7
2015_5_9894_1001,3,18
2015_5_9895_1001,3,11
2015_5_9896_1001,3,18
2015_5_9897_1001,3,18
2015_5_9898_1001,3,11
2015_5_9899_1001,2,7
2015_5_99_1001,4,13
2015_5_990_1001,3,18
2015_5_9900_1001,4,13
2015_5_9901_1001,1,19
2015_5_9902_1001,0,14
2015_5_9903_1001,2,16
2015_5_9905_1001,3,18
2015_5_9906_1001,0,14
2015_5_9907_1001,0,14
2015_5_9909_1001,2,15
2015_5_991_1001,3,11
2015_5_9910_1001,2,16
2015_5_9912_1001,2,16
2015_5_9913_1001,3,18
2015_5_9914_1001,2,15
2015_5_9915_1001,0,14
2015_5_9919_1001,3,11
2015_5_992_1001,0,5
2015_5_9920_1001,3,11
2015_5_9921_1001,1,19
2015_5_9924_1001,0,14
2015_5_9925_1001,4,17
2015_5_9926_1001,1,19
2015_5_9929_1001,1,19
2015_5_993_1001,4,9
2015_5_9931_1001,2,16
2015_5_9933_1001,4,17
2015_5_9935_1001,1,8
2015_5_9938_1001,4,13
2015_5_9939_1001,3,18
2015_5_994_1001,4,13
2015_5_9940_1001,2,16
2015_5_9941_1001,3,6
2015_5_9942_1001,1,8
2015_5_9944_1001,3,18
2015_5_9945_1001,2,16
2015_5_9946_1001,2,16
2015_5_9947_1001,2,16
2015_5_9949_1001,2,15
2015_5_995_1001,4,17
2015_5_9950_1001,2,16
2015_5_9951_1001,2,16
2015_5_9952_1001,2,16
2015_5_9953_1001,2,16
2015_5_9954_1001,2,16
2015_5_9955_1001,0,5
2015_5_9956_1001,2,16
2015_5_9957_1001,0,14
2015_5_9958_1001,3,11
2015_5_9959_1001,3,18
2015_5_9960_1001,3,18
2015_5_9961_1001,2,16
2015_5_9962_1001,2,16
2015_5_9964_1001,0,14
2015_5_9965_1001,0,14
2015_5_9966_1001,2,16
2015_5_9967_1001,0,14
2015_5_9968_1001,3,18
2015_5_9969_1001,2,16
2015_5_997_1001,4,12
2015_5_9970_1001,2,16
2015_5_9971_1001,1,19
2015_5_9972_1001,2,16
2015_5_9973_1001,3,18
2015_5_9974_1001,3,18
2015_5_9975_1001,3,18
2015_5_9976_1001,3,18
2015_5_9977_1001,3,18
2015_5_9978_1001,2,16
2015_5_9979_1001,0,14
2015_5_998_1001,4,17
2015_5_9980_1001,0,5
2015_5_9981_1001,3,18
2015_5_9982_1001,0,14
2015_5_9983_1001,2,15
2015_5_9984_1001,4,9
2015_5_9986_1001,0,14
2015_5_9987_1001,0,5
2015_5_9988_1001,2,15
2015_5_9989_1001,1,19
2015_5_999_1001,3,18
2015_5_9992_1001,3,18
2015_5_9993_1001,3,18
2015_5_9994_1001,1,19
2015_5_9996_1001,1,8
2015_5_9998_1001,3,18
2015_6_1_1001,3,18
2015_6_10_1001,1,19
2015_6_100_1001,0,10
2015_6_1000_1001,0,10
2015_6_10000_1001,1,19
2015_6_10001_1001,2,16
2015_6_10002_1001,1,19
2015_6_10005_1001,0,14
2015_6_10006_1001,2,16
2015_6_10007_1001,2,16
2015_6_10008_1001,3,18
2015_6_10009_1001,0,14
2015_6_1001_1001,2,16
2015_6_10010_1001,4,17
2015_6_10012_1001,1,19
2015_6_10013_1001,1,19
2015_6_10015_1001,4,17
2015_6_10017_1001,2,15
2015_6_10019_1001,0,14
2015_6_1002_1001,0,10
2015_6_10021_1001,1,19
2015_6_10022_1001,0,14
2015_6_10024_1001,0,14
2015_6_10026_1001,3,11
2015_6_10027_1001,4,13
2015_6_10029_1001,4,13
2015_6_1003_1001,4,17
2015_6_10030_1001,0,14
2015_6_10031_1001,3,18
2015_6_10032_1001,2,16
2015_6_10034_1001,2,16
2015_6_10035_1001,2,15
2015_6_10038_1001,2,16
2015_6_10039_1001,2,15
2015_6_1004_1001,4,17
2015_6_10040_1001,2,16
2015_6_10041_1001,2,16
2015_6_10042_1001,3,18
2015_6_10043_1001,3,18
2015_6_10044_1001,3,11
2015_6_10045_1001,0,14
2015_6_10046_1001,4,13
2015_6_10049_1001,3,4
2015_6_10050_1001,3,11
2015_6_10053_1001,0,10
2015_6_10054_1001,2,16
2015_6_10055_1001,4,9
2015_6_10057_1001,0,10
2015_6_10058_1001,0,10
2015_6_10059_1001,0,14
2015_6_1006_1001,4,9
2015_6_10060_1001,2,15
2015_6_10061_1001,3,18
2015_6_10062_1001,0,14
2015_6_10063_1001,0,10
2015_6_10064_1001,0,10
2015_6_10066_1001,0,10
2015_6_10067_1001,1,8
2015_6_10068_1001,1,19
2015_6_10069_1001,2,16
2015_6_1007_1001,3,18
2015_6_10070_1001,3,18
2015_6_10071_1001,1,19
2015_6_10072_1001,2,15
2015_6_10073_1001,1,19
2015_6_10074_1001,1,8
2015_6_10075_1001,1,19
2015_6_10077_1001,2,16
2015_6_10078_1001,4,13
2015_6_10079_1001,2,16
2015_6_1008_1001,4,12
2015_6_10080_1001,1,19
2015_6_10081_1001,1,19
2015_6_10084_1001,2,16
2015_6_10085_1001,4,17
2015_6_10087_1001,4,17
2015_6_10088_1001,0,10
2015_6_10089_1001,1,19
2015_6_1009_1001,4,17
2015_6_10090_1001,0,14
2015_6_10091_1001,1,19
2015_6_10093_1001,1,19
2015_6_10095_1001,1,19
2015_6_10097_1001,2,7
2015_6_10098_1001,2,16
2015_6_101_1001,4,17
2015_6_10101_1001,3,18
2015_6_10102_1001,3,11
2015_6_10105_1001,0,14
2015_6_10106_1001,0,10
2015_6_1011_1001,4,17
2015_6_10110_1001,4,13
2015_6_10111_1001,3,18
2015_6_10112_1001,3,11
2015_6_10114_1001,3,18
2015_6_10115_1001,0,14
2015_6_10116_1001,0,5
2015_6_10117_1001,2,15
2015_6_10118_1001,2,16
2015_6_10119_1001,2,16
2015_6_10120_1001,4,13
2015_6_10121_1001,0,10
2015_6_10122_1001,0,14
2015_6_10123_1001,0,14
2015_6_10124_1001,0,14
2015_6_10125_1001,0,14
2015_6_10126_1001,1,8
2015_6_10128_1001,1,19
2015_6_10129_1001,3,6
2015_6_1013_1001,1,19
2015_6_10131_1001,3,18
2015_6_10133_1001,3,18
2015_6_10134_1001,4,12
2015_6_10135_1001,4,12
2015_6_10138_1001,3,18
2015_6_10139_1001,0,14
2015_6_1014_1001,4,17
2015_6_10140_1001,0,14
2015_6_10141_1001,2,16
2015_6_10142_1001,2,16
2015_6_10143_1001,2,16
2015_6_10144_1001,0,14
2015_6_10145_1001,3,18
2015_6_10146_1001,3,18
2015_6_10147_1001,3,18
2015_6_10148_1001,3,18
2015_6_10149_1001,3,4
2015_6_1015_1001,1,19
2015_6_10150_1001,0,14
2015_6_10151_1001,2,16
2015_6_10152_1001,4,13
2015_6_10153_1001,3,11
2015_6_10154_1001,0,14
2015_6_10155_1001,1,19
2015_6_10158_1001,2,16
2015_6_10159_1001,3,18
2015_6_10160_1001,2,16
2015_6_10161_1001,0,10
2015_6_10162_1001,0,10
2015_6_10163_1001,1,19
2015_6_10165_1001,1,19
2015_6_10168_1001,2,16
2015_6_10169_1001,1,19
2015_6_1017_1001,4,17
2015_6_10171_1001,1,19
2015_6_10173_1001,0,14
2015_6_10175_1001,1,19
2015_6_10177_1001,1,19
2015_6_10179_1001,3,6
2015_6_1018_1001,2,16
2015_6_10180_1001,1,19
2015_6_10182_1001,3,18
2015_6_10184_1001,4,17
2015_6_10186_1001,1,19
2015_6_10187_1001,3,18
2015_6_10188_1001,2,16
2015_6_10189_1001,0,14
2015_6_1019_1001,3,18
2015_6_10190_1001,1,19
2015_6_10191_1001,4,13
2015_6_10193_1001,2,15
2015_6_10194_1001,3,18
2015_6_10196_1001,1,19
2015_6_10197_1001,3,11
2015_6_10199_1001,2,16
2015_6_102_1001,4,17
2015_6_1020_1001,4,17
2015_6_10201_1001,2,16
2015_6_10202_1001,2,16
2015_6_10203_1001,2,16
2015_6_10204_1001,0,14
2015_6_10205_1001,2,7
2015_6_10206_1001,1,19
2015_6_10207_1001,1,19
2015_6_10208_1001,2,16
2015_6_10210_1001,0,14
2015_6_10211_1001,1,19
2015_6_10213_1001,3,18
2015_6_10214_1001,4,17
2015_6_10216_1001,1,19
2015_6_1022_1001,3,18
2015_6_10220_1001,2,7
2015_6_10223_1001,4,13
2015_6_10224_1001,0,14
2015_6_10226_1001,3,11
2015_6_10227_1001,3,18
2015_6_10228_1001,0,5
2015_6_10229_1001,1,19
2015_6_1023_1001,3,18
2015_6_10231_1001,0,10
2015_6_10232_1001,0,10
2015_6_10233_1001,4,13
2015_6_10234_1001,0,14
2015_6_10235_1001,1,19
2015_6_10236_1001,1,19
2015_6_10237_1001,0,14
2015_6_10238_1001,0,14
2015_6_10239_1001,1,19
2015_6_1024_1001,4,17
2015_6_10241_1001,1,19
2015_6_10244_1001,3,18
2015_6_10245_1001,3,6
2015_6_10246_1001,0,10
2015_6_10247_1001,0,14
2015_6_10248_1001,0,10
2015_6_10249_1001,4,17
2015_6_1025_1001,3,5
2015_6_10250_1001,3,11
2015_6_10251_1001,3,18
2015_6_10252_1001,1,19
2015_6_10253_1001,2,2
2015_6_10254_1001,1,19
2015_6_10255_1001,2,15
2015_6_10256_1001,2,15
2015_6_10257_1001,2,15
2015_6_10258_1001,3,18
2015_6_10259_1001,1,19
2015_6_1026_1001,4,17
2015_6_10260_1001,1,19
2015_6_10262_1001,1,19
2015_6_10264_1001,3,18
2015_6_10265_1001,0,14
2015_6_10266_1001,3,18
2015_6_10267_1001,3,6
2015_6_10268_1001,4,13
2015_6_10269_1001,4,13
2015_6_10270_1001,3,18
2015_6_10271_1001,1,8
2015_6_10272_1001,0,10
2015_6_10273_1001,2,7
2015_6_10276_1001,2,16
2015_6_10277_1001,2,16
2015_6_10278_1001,0,10
2015_6_10279_1001,2,15
2015_6_1028_1001,4,17
2015_6_10280_1001,1,8
2015_6_10281_1001,2,16
2015_6_10282_1001,3,11
2015_6_10283_1001,3,11
2015_6_10284_1001,3,11
2015_6_10285_1001,0,14
2015_6_10286_1001,1,19
2015_6_10288_1001,3,18
2015_6_10289_1001,1,19
2015_6_1029_1001,4,17
2015_6_10294_1001,1,19
2015_6_10296_1001,3,18
2015_6_10297_1001,3,11
2015_6_10298_1001,4,17
2015_6_10299_1001,0,14
2015_6_1030_1001,4,17
2015_6_10301_1001,0,10
2015_6_10303_1001,1,19
2015_6_10304_1001,3,18
2015_6_10305_1001,3,6
2015_6_10306_1001,3,18
2015_6_10307_1001,1,19
2015_6_10308_1001,4,17
2015_6_10309_1001,3,11
2015_6_1031_1001,4,13
2015_6_10310_1001,3,11
2015_6_10311_1001,3,18
2015_6_10312_1001,3,11
2015_6_10313_1001,1,19
2015_6_10315_1001,2,16
2015_6_10316_1001,3,18
2015_6_10318_1001,2,16
2015_6_10319_1001,3,18
2015_6_1032_1001,0,10
2015_6_10320_1001,0,14
2015_6_10321_1001,0,10
2015_6_10322_1001,4,13
2015_6_10323_1001,0,14
2015_6_10324_1001,0,10
2015_6_10325_1001,0,14
2015_6_10326_1001,4,13
2015_6_10327_1001,2,16
2015_6_10328_1001,2,15
2015_6_1033_1001,2,15
2015_6_10330_1001,2,7
2015_6_10331_1001,2,7
2015_6_10332_1001,1,19
2015_6_10334_1001,3,18
2015_6_10335_1001,0,14
2015_6_10336_1001,1,19
2015_6_10337_1001,4,13
2015_6_10338_1001,1,19
2015_6_10339_1001,3,18
2015_6_1034_1001,4,17
2015_6_10340_1001,2,16
2015_6_10341_1001,2,15
2015_6_10342_1001,3,18
2015_6_10343_1001,2,16
2015_6_10345_1001,3,18
2015_6_10348_1001,3,11
2015_6_10349_1001,0,14
2015_6_10351_1001,3,18
2015_6_10352_1001,1,19
2015_6_10354_1001,2,15
2015_6_10355_1001,2,7
2015_6_10356_1001,3,18
2015_6_10357_1001,3,18
2015_6_10358_1001,1,19
2015_6_1036_1001,4,17
2015_6_10360_1001,1,19
2015_6_10362_1001,3,18
2015_6_10363_1001,0,14
2015_6_10364_1001,1,19
2015_6_10366_1001,2,16
2015_6_10367_1001,2,16
2015_6_10368_1001,0,14
2015_6_10369_1001,2,15
2015_6_1037_1001,4,17
2015_6_10370_1001,1,19
2015_6_10371_1001,0,10
2015_6_10372_1001,3,4
2015_6_10373_1001,4,9
2015_6_10374_1001,1,19
2015_6_10376_1001,3,18
2015_6_10379_1001,3,18
2015_6_1038_1001,4,17
2015_6_10380_1001,2,16
2015_6_10382_1001,0,10
2015_6_10383_1001,1,19
2015_6_10384_1001,3,18
2015_6_10386_1001,0,10
2015_6_10387_1001,2,16
2015_6_10389_1001,2,16
2015_6_10390_1001,3,4
2015_6_10391_1001,4,13
2015_6_10392_1001,0,10
2015_6_10394_1001,3,18
2015_6_10395_1001,3,6
2015_6_10397_1001,3,18
2015_6_10398_1001,3,5
2015_6_10399_1001,3,11
2015_6_104_1001,3,18
2015_6_1040_1001,4,12
2015_6_10400_1001,1,19
2015_6_10402_1001,0,14
2015_6_10403_1001,3,18
2015_6_10404_1001,2,15
2015_6_10405_1001,0,10
2015_6_10407_1001,3,18
2015_6_10409_1001,0,14
2015_6_1041_1001,2,7
2015_6_10410_1001,0,14
2015_6_10411_1001,3,18
2015_6_10412_1001,3,18
2015_6_10414_1001,2,15
2015_6_10415_1001,1,19
2015_6_10417_1001,0,14
2015_6_10418_1001,3,18
2015_6_1042_1001,4,17
2015_6_10421_1001,1,8
2015_6_10422_1001,1,19
2015_6_10423_1001,3,18
2015_6_10424_1001,1,19
2015_6_10427_1001,3,11
2015_6_10428_1001,1,19
2015_6_10429_1001,1,8
2015_6_1043_1001,3,18
2015_6_10430_1001,2,16
2015_6_10431_1001,0,14
2015_6_10432_1001,2,16
2015_6_10433_1001,2,16
2015_6_10434_1001,2,16
2015_6_10435_1001,1,19
2015_6_10436_1001,0,10
2015_6_10437_1001,0,14
2015_6_10438_1001,2,16
2015_6_10439_1001,2,15
2015_6_1044_1001,4,17
2015_6_10441_1001,1,19
2015_6_10443_1001,2,16
2015_6_10444_1001,4,12
2015_6_10446_1001,0,14
2015_6_10447_1001,3,6
2015_6_1045_1001,4,17
2015_6_10451_1001,4,9
2015_6_10453_1001,0,10
2015_6_10454_1001,3,18
2015_6_10455_1001,0,10
2015_6_10456_1001,2,15
2015_6_10457_1001,0,5
2015_6_10458_1001,0,14
2015_6_10459_1001,0,10
2015_6_1046_1001,0,10
2015_6_10460_1001,0,14
2015_6_10462_1001,2,16
2015_6_10463_1001,1,19
2015_6_10465_1001,0,10
2015_6_10466_1001,3,18
2015_6_10467_1001,3,18
2015_6_10468_1001,1,19
2015_6_1047_1001,1,19
2015_6_10470_1001,1,19
2015_6_10472_1001,3,18
2015_6_10473_1001,3,5
2015_6_10474_1001,0,10
2015_6_10475_1001,2,16
2015_6_10476_1001,0,5
2015_6_10477_1001,4,13
2015_6_10479_1001,2,16
2015_6_1048_1001,2,7
2015_6_10480_1001,3,18
2015_6_10481_1001,0,14
2015_6_10482_1001,3,18
2015_6_10484_1001,3,18
2015_6_10485_1001,0,14
2015_6_10486_1001,2,16
2015_6_10487_1001,1,19
2015_6_10488_1001,2,16
2015_6_10489_1001,3,5
2015_6_1049_1001,2,7
2015_6_10491_1001,0,14
2015_6_10492_1001,3,18
2015_6_10494_1001,4,17
2015_6_10496_1001,4,13
2015_6_10497_1001,0,5
2015_6_10499_1001,3,11
2015_6_105_1001,1,19
2015_6_1050_1001,2,7
2015_6_10501_1001,1,19
2015_6_10502_1001,4,13
2015_6_10503_1001,4,17
2015_6_10504_1001,2,15
2015_6_10505_1001,2,15
2015_6_10507_1001,2,16
2015_6_1051_1001,4,13
2015_6_10510_1001,4,12
2015_6_10511_1001,1,19
2015_6_10514_1001,3,18
2015_6_10516_1001,2,16
2015_6_10517_1001,1,19
2015_6_10518_1001,2,15
2015_6_1052_1001,4,13
2015_6_10520_1001,2,16
2015_6_10521_1001,2,15
2015_6_10522_1001,1,19
2015_6_10526_1001,0,10
2015_6_10527_1001,3,18
2015_6_10529_1001,0,14
2015_6_1053_1001,0,10
2015_6_10530_1001,3,11
2015_6_10532_1001,1,19
2015_6_10535_1001,3,18
2015_6_10536_1001,4,9
2015_6_10537_1001,1,19
2015_6_10539_1001,4,17
2015_6_1054_1001,0,10
2015_6_10541_1001,2,15
2015_6_10543_1001,2,7
2015_6_10544_1001,3,18
2015_6_10546_1001,2,16
2015_6_10548_1001,0,14
2015_6_1055_1001,2,15
2015_6_10550_1001,2,7
2015_6_10551_1001,1,19
2015_6_10553_1001,1,19
2015_6_10554_1001,3,18
2015_6_10555_1001,2,16
2015_6_10556_1001,2,7
2015_6_10557_1001,3,18
2015_6_10558_1001,0,14
2015_6_10559_1001,3,18
2015_6_10560_1001,1,19
2015_6_10561_1001,3,11
2015_6_10562_1001,3,18
2015_6_10564_1001,4,13
2015_6_10565_1001,1,19
2015_6_10566_1001,1,19
2015_6_10567_1001,3,11
2015_6_10568_1001,1,19
2015_6_1057_1001,2,16
2015_6_10570_1001,0,10
2015_6_10571_1001,3,18
2015_6_10572_1001,3,18
2015_6_10573_1001,1,19
2015_6_10574_1001,2,15
2015_6_10575_1001,2,16
2015_6_10576_1001,2,16
2015_6_10577_1001,3,18
2015_6_10579_1001,3,18
2015_6_10580_1001,2,16
2015_6_10581_1001,0,14
2015_6_10582_1001,3,18
2015_6_10583_1001,2,15
2015_6_10584_1001,4,13
2015_6_10586_1001,3,18
2015_6_10587_1001,3,4
2015_6_1059_1001,2,16
2015_6_10591_1001,1,19
2015_6_10592_1001,3,18
2015_6_10593_1001,4,13
2015_6_10594_1001,1,19
2015_6_10595_1001,0,14
2015_6_10596_1001,0,14
2015_6_10597_1001,3,18
2015_6_10598_1001,1,19
2015_6_1060_1001,4,17
2015_6_10600_1001,2,1
2015_6_10601_1001,3,18
2015_6_10602_1001,2,16
2015_6_10603_1001,3,18
2015_6_10604_1001,3,18
2015_6_10605_1001,2,15
2015_6_10607_1001,3,18
2015_6_10608_1001,1,19
2015_6_1061_1001,4,17
2015_6_10610_1001,1,19
2015_6_10612_1001,1,19
2015_6_10614_1001,1,8
2015_6_10616_1001,1,19
2015_6_10618_1001,2,16
2015_6_10619_1001,1,19
2015_6_10621_1001,3,18
2015_6_10622_1001,3,18
2015_6_10623_1001,3,18
2015_6_10624_1001,3,18
2015_6_10625_1001,3,6
2015_6_10626_1001,4,12
2015_6_10627_1001,0,14
2015_6_10628_1001,1,19
2015_6_10629_1001,3,11
2015_6_1063_1001,3,18
2015_6_10630_1001,0,10
2015_6_10632_1001,2,16
2015_6_10636_1001,3,11
2015_6_10637_1001,4,13
2015_6_10638_1001,4,13
2015_6_1064_1001,3,18
2015_6_10640_1001,3,18
2015_6_10641_1001,2,15
2015_6_10643_1001,3,18
2015_6_10644_1001,3,18
2015_6_10645_1001,3,18
2015_6_10646_1001,0,10
2015_6_10647_1001,3,18
2015_6_10648_1001,2,16
2015_6_10649_1001,2,16
2015_6_1065_1001,4,17
2015_6_10650_1001,2,16
2015_6_10651_1001,3,18
2015_6_10652_1001,1,19
2015_6_10654_1001,2,16
2015_6_10655_1001,3,18
2015_6_10656_1001,3,18
2015_6_10657_1001,4,17
2015_6_10658_1001,3,18
2015_6_10659_1001,3,18
2015_6_1066_1001,3,18
2015_6_10660_1001,1,19
2015_6_10661_1001,0,5
2015_6_10662_1001,3,18
2015_6_10663_1001,2,15
2015_6_10665_1001,1,19
2015_6_10667_1001,1,19
2015_6_10669_1001,3,18
2015_6_10670_1001,0,10
2015_6_10671_1001,4,13
2015_6_10674_1001,0,10
2015_6_10675_1001,3,18
2015_6_10676_1001,3,18
2015_6_10678_1001,0,14
2015_6_10679_1001,2,15
2015_6_1068_1001,3,18
2015_6_10680_1001,4,13
2015_6_10682_1001,0,10
2015_6_10683_1001,1,8
2015_6_10684_1001,1,19
2015_6_10687_1001,2,15
2015_6_10688_1001,1,19
2015_6_10689_1001,0,14
2015_6_1069_1001,1,19
2015_6_10690_1001,3,18
2015_6_10691_1001,2,2
2015_6_10695_1001,3,18
2015_6_10696_1001,0,14
2015_6_10697_1001,3,18
2015_6_10698_1001,2,16
2015_6_10699_1001,0,10
2015_6_107_1001,1,19
2015_6_10700_1001,3,18
2015_6_10703_1001,2,16
2015_6_10704_1001,3,5
2015_6_10705_1001,1,19
2015_6_10707_1001,0,14
2015_6_10708_1001,3,18
2015_6_10709_1001,3,18
2015_6_1071_1001,3,18
2015_6_10710_1001,2,16
2015_6_10711_1001,3,18
2015_6_10713_1001,2,16
2015_6_10714_1001,3,18
2015_6_10719_1001,3,18
2015_6_10722_1001,2,16
2015_6_10725_1001,2,16
2015_6_10727_1001,2,15
2015_6_10728_1001,2,15
2015_6_1073_1001,2,16
2015_6_10730_1001,3,11
2015_6_10732_1001,3,18
2015_6_10735_1001,3,5
